location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,158059.0,7356.0,3843.027,178.853,1.39,,,,,,,,,,,,,4674518.0,4142857.0,3753224.0,,11.37,10.07,9.13,,56.02,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
Africa,9850360.0,228878.0,6904.119,160.421,,,,,,,,,,,,,,303508220.0,193644216.0,124750456.0,892142.0,21.27,13.57,8.74,0.06,,,,,,,,,,,,,,,,1426736614.0,,,,
Albania,208899.0,3212.0,73495.999,1130.064,1.86,,,,,,,,,1423366.0,498.603,0.4156,1067.6,2316606.0,1141486.0,1031132.0,143988.0,81.5,40.16,36.28,5.07,63.89,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,14654.999,34.73,92.8,5133.621
Algeria,218037.0,6271.0,4855.709,139.656,1.38,52.0,1.158,,,,,,,,,,,12545356.0,7060737.0,5609040.0,25381.0,27.94,15.72,12.49,0.06,85.19,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,,,,
American Samoa,11.0,,248.335,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295.0,,,,
Andorra,23122.0,140.0,289593.327,1753.441,1.63,,,,,,,,,266810.0,3375.889,0.2835,156.5,117246.0,57085.0,51392.0,8769.0,146.85,71.5,64.37,10.98,55.56,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,140.20001,29.22,72.69,1773.4042
Angola,76787.0,1757.0,2157.605,49.369,2.94,,,,,,,,,,,,,11615144.0,7685417.0,3929727.0,,32.64,21.59,11.04,,71.59,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
Anguilla,1674.0,5.0,105435.536,314.921,,,,,,,,,,51382.0,3261.728,0.1615,1181.8,20284.0,10079.0,9223.0,982.0,127.76,63.48,58.09,6.19,,,,,,,,,,,,,,81.88,,15877.0,,,,
Antigua and Barbuda,4295.0,119.0,45802.585,1269.036,1.48,,,,,,,,,16700.0,179.146,0.6099,181.8,121146.0,62283.0,58863.0,,129.19,66.42,62.77,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-25.600002,-2.29,91.88,-274.59268
Argentina,5780522.0,118176.0,127015.62,2596.686,2.24,7969.0,175.103,,,,,,,28634195.0,632.426,0.319,55.6,78297805.0,38821593.0,30777189.0,6181673.0,172.04,85.3,67.63,13.58,84.26,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,131388.0,22.1,75.38,2901.8843
Armenia,344930.0,7972.0,124054.477,2867.139,1.47,,,,,,,,,2573937.0,922.236,0.214,71.4,1626738.0,934028.0,692082.0,628.0,58.51,33.59,24.89,0.02,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,19881.4,40.01,115.09,7123.4707
Aruba,19021.0,181.0,178669.723,1700.185,,,,,,,,,,793.0,7.443,,,163759.0,84751.0,79008.0,,153.82,79.61,74.21,,67.59,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,352.2,26.65,120.18,3305.7078
Asia,84845091.0,1259185.0,17970.388,266.698,,,,,,,,,,,,,,6219611612.0,3114466115.0,2649550680.0,207409465.0,131.73,65.97,56.12,4.39,,,,,,,,,,,,,,,,4721383370.0,,,,
Australia,366607.0,2443.0,14004.709,93.325,2.21,312.0,11.919,1605.0,61.312,,,,,54958964.0,2120.241,0.0745,15559.8,42580539.0,20444346.0,19755837.0,2380356.0,162.66,78.1,75.47,9.09,78.24,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,682.90027,0.21,9.86,26.345348
Austria,1264529.0,16698.0,141452.257,1867.865,1.5,664.0,74.276,3415.0,382.007,,,,,123579209.0,13850.938,0.0306,4144.1,16677329.0,6707207.0,6314990.0,3992811.0,186.56,75.03,70.64,44.66,82.41,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,14493.599,8.85,40.03,1624.463
